HOUR_OF_DAY,DAY_OF_WEEK,YEAR,QUARTER,MONTH,city,lat,lng
13,5,2015,1,1,Dorchester,42.3057,-71.08693
13,5,2015,1,1,Dorchester,42.29427,-71.05185
13,5,2015,1,1,Dorchester,42.31578,-71.0562
1,1,2015,1,1,Hyde Park,42.25505,-71.12662
18,1,2015,1,1,Roslindale,42.28392,-71.12468
22,5,2015,1,1,Roxbury,42.32405,-71.08522
22,5,2015,1,1,Roxbury,42.32405,-71.08522
22,5,2015,1,1,Roxbury,42.32405,-71.08522
22,5,2015,1,1,Roxbury,42.32405,-71.08522
23,2,2015,1,1,Dorchester,42.3057,-71.08693
23,2,2015,1,1,Dorchester,42.29427,-71.05185
23,2,2015,1,1,Dorchester,42.31578,-71.0562
2,6,2015,1,1,Mattapan,42.27588,-71.0918
23,3,2015,1,1,Jamaica Plain,42.30823,-71.11515
11,3,2015,1,1,Longwood,,
1,5,2015,1,1,Mission Hill,,
19,5,2015,1,1,Roxbury,42.32405,-71.08522
19,5,2015,1,1,Roxbury,42.32405,-71.08522
12,2,2015,1,1,Roxbury,42.32405,-71.08522
23,6,2015,1,1,Jamaica Plain,42.30823,-71.11515
23,6,2015,1,1,Jamaica Plain,42.30823,-71.11515
23,6,2015,1,1,Jamaica Plain,42.30823,-71.11515
23,6,2015,1,1,Jamaica Plain,42.30823,-71.11515
23,6,2015,1,1,Jamaica Plain,42.30823,-71.11515
23,6,2015,1,1,Jamaica Plain,42.30823,-71.11515
19,4,2015,1,2,Roxbury,42.32405,-71.08522
19,1,2015,1,2,Mattapan,42.27588,-71.0918
20,3,2015,1,2,Dorchester,42.3057,-71.08693
20,3,2015,1,2,Dorchester,42.29427,-71.05185
20,3,2015,1,2,Dorchester,42.31578,-71.0562
10,4,2015,1,2,Jamaica Plain,42.30823,-71.11515
22,1,2015,1,3,Dorchester,42.3057,-71.08693
22,1,2015,1,3,Dorchester,42.29427,-71.05185
22,1,2015,1,3,Dorchester,42.31578,-71.0562
19,3,2015,1,3,Roxbury,42.32405,-71.08522
2,7,2015,1,3,South End,,
18,4,2015,1,3,Dorchester,42.3057,-71.08693
18,4,2015,1,3,Dorchester,42.29427,-71.05185
18,4,2015,1,3,Dorchester,42.31578,-71.0562
0,5,2015,1,3,Dorchester,42.3057,-71.08693
0,5,2015,1,3,Dorchester,42.29427,-71.05185
0,5,2015,1,3,Dorchester,42.31578,-71.0562
18,6,2015,1,3,Dorchester,42.3057,-71.08693
18,6,2015,1,3,Dorchester,42.29427,-71.05185
18,6,2015,1,3,Dorchester,42.31578,-71.0562
20,6,2015,1,3,Dorchester,42.3057,-71.08693
20,6,2015,1,3,Dorchester,42.29427,-71.05185
20,6,2015,1,3,Dorchester,42.31578,-71.0562
21,7,2015,1,3,Hyde Park,42.25505,-71.12662
3,1,2015,1,3,Hyde Park,42.25505,-71.12662
3,1,2015,1,3,Hyde Park,42.25505,-71.12662
15,7,2015,1,3,Roxbury,42.32405,-71.08522
12,4,2015,1,3,Roxbury,42.32405,-71.08522
22,2,2015,1,3,East Boston,42.37324,-71.01616
20,7,2015,1,3,Dorchester,42.3057,-71.08693
20,7,2015,1,3,Dorchester,42.29427,-71.05185
20,7,2015,1,3,Dorchester,42.31578,-71.0562
14,6,2015,1,3,Mission Hill,,
18,6,2015,1,3,Roxbury,42.32405,-71.08522
10,6,2015,1,3,Roxbury,42.32405,-71.08522
11,3,2015,1,3,Dorchester,42.3057,-71.08693
11,3,2015,1,3,Dorchester,42.29427,-71.05185
11,3,2015,1,3,Dorchester,42.31578,-71.0562
11,3,2015,1,3,Dorchester,42.3057,-71.08693
11,3,2015,1,3,Dorchester,42.29427,-71.05185
11,3,2015,1,3,Dorchester,42.31578,-71.0562
20,4,2015,2,4,Dorchester,42.3057,-71.08693
20,4,2015,2,4,Dorchester,42.29427,-71.05185
20,4,2015,2,4,Dorchester,42.31578,-71.0562
23,6,2015,2,4,Roxbury,42.32405,-71.08522
23,6,2015,2,4,Roxbury,42.32405,-71.08522
21,2,2015,2,4,Roxbury,42.32405,-71.08522
20,4,2015,2,4,Dorchester,42.3057,-71.08693
20,4,2015,2,4,Dorchester,42.29427,-71.05185
20,4,2015,2,4,Dorchester,42.31578,-71.0562
20,4,2015,2,4,Dorchester,42.3057,-71.08693
20,4,2015,2,4,Dorchester,42.29427,-71.05185
20,4,2015,2,4,Dorchester,42.31578,-71.0562
15,5,2015,2,4,Roxbury,42.32405,-71.08522
21,1,2015,2,4,Dorchester,42.3057,-71.08693
21,1,2015,2,4,Dorchester,42.29427,-71.05185
21,1,2015,2,4,Dorchester,42.31578,-71.0562
21,1,2015,2,4,Dorchester,42.3057,-71.08693
21,1,2015,2,4,Dorchester,42.29427,-71.05185
21,1,2015,2,4,Dorchester,42.31578,-71.0562
23,6,2015,2,4,Mattapan,42.27588,-71.0918
10,2,2015,2,4,Roxbury,42.32405,-71.08522
17,3,2015,2,4,Mattapan,42.27588,-71.0918
15,7,2015,2,5,Roxbury,42.32405,-71.08522
19,1,2015,2,5,Dorchester,42.3057,-71.08693
19,1,2015,2,5,Dorchester,42.29427,-71.05185
19,1,2015,2,5,Dorchester,42.31578,-71.0562
20,1,2015,2,5,Dorchester,42.3057,-71.08693
20,1,2015,2,5,Dorchester,42.29427,-71.05185
20,1,2015,2,5,Dorchester,42.31578,-71.0562
4,3,2015,2,5,Roslindale,42.28392,-71.12468
13,1,2015,2,5,Roxbury,42.32405,-71.08522
11,6,2015,2,5,Dorchester,42.3057,-71.08693
11,6,2015,2,5,Dorchester,42.29427,-71.05185
11,6,2015,2,5,Dorchester,42.31578,-71.0562
4,5,2015,2,5,Roxbury,42.32405,-71.08522
13,5,2015,2,5,Dorchester,42.3057,-71.08693
13,5,2015,2,5,Dorchester,42.29427,-71.05185
13,5,2015,2,5,Dorchester,42.31578,-71.0562
18,3,2015,2,5,Roxbury,42.32405,-71.08522
23,6,2015,2,5,Dorchester,42.3057,-71.08693
23,6,2015,2,5,Dorchester,42.29427,-71.05185
23,6,2015,2,5,Dorchester,42.31578,-71.0562
21,2,2015,2,5,Hyde Park,42.25505,-71.12662
11,4,2015,2,5,Hyde Park,42.25505,-71.12662
17,5,2015,2,5,Dorchester,42.3057,-71.08693
17,5,2015,2,5,Dorchester,42.29427,-71.05185
17,5,2015,2,5,Dorchester,42.31578,-71.0562
21,5,2015,2,5,Mattapan,42.27588,-71.0918
0,7,2015,2,5,Roxbury,42.32405,-71.08522
16,1,2015,2,5,Dorchester,42.3057,-71.08693
16,1,2015,2,5,Dorchester,42.29427,-71.05185
16,1,2015,2,5,Dorchester,42.31578,-71.0562
16,1,2015,2,5,Dorchester,42.3057,-71.08693
16,1,2015,2,5,Dorchester,42.29427,-71.05185
16,1,2015,2,5,Dorchester,42.31578,-71.0562
16,1,2015,2,5,Dorchester,42.3057,-71.08693
16,1,2015,2,5,Dorchester,42.29427,-71.05185
16,1,2015,2,5,Dorchester,42.31578,-71.0562
1,2,2015,2,5,Jamaica Plain,42.30823,-71.11515
13,3,2015,2,5,Dorchester,42.3057,-71.08693
13,3,2015,2,5,Dorchester,42.29427,-71.05185
13,3,2015,2,5,Dorchester,42.31578,-71.0562
19,7,2015,2,5,Dorchester,42.3057,-71.08693
19,7,2015,2,5,Dorchester,42.29427,-71.05185
19,7,2015,2,5,Dorchester,42.31578,-71.0562
2,7,2015,2,5,Downtown,,
18,6,2015,2,5,East Boston,42.37324,-71.01616
14,2,2015,2,6,Dorchester,42.3057,-71.08693
14,2,2015,2,6,Dorchester,42.29427,-71.05185
14,2,2015,2,6,Dorchester,42.31578,-71.0562
5,4,2015,2,6,Dorchester,42.3057,-71.08693
5,4,2015,2,6,Dorchester,42.29427,-71.05185
5,4,2015,2,6,Dorchester,42.31578,-71.0562
23,4,2015,2,6,Dorchester,42.3057,-71.08693
23,4,2015,2,6,Dorchester,42.29427,-71.05185
23,4,2015,2,6,Dorchester,42.31578,-71.0562
23,4,2015,2,6,Dorchester,42.3057,-71.08693
23,4,2015,2,6,Dorchester,42.29427,-71.05185
23,4,2015,2,6,Dorchester,42.31578,-71.0562
19,4,2015,2,6,Dorchester,42.3057,-71.08693
19,4,2015,2,6,Dorchester,42.29427,-71.05185
19,4,2015,2,6,Dorchester,42.31578,-71.0562
4,6,2015,2,6,Roxbury,42.32405,-71.08522
0,7,2015,2,6,Dorchester,42.3057,-71.08693
0,7,2015,2,6,Dorchester,42.29427,-71.05185
0,7,2015,2,6,Dorchester,42.31578,-71.0562
20,7,2015,2,6,Jamaica Plain,42.30823,-71.11515
20,3,2015,2,6,Dorchester,42.3057,-71.08693
20,3,2015,2,6,Dorchester,42.29427,-71.05185
20,3,2015,2,6,Dorchester,42.31578,-71.0562
20,3,2015,2,6,Dorchester,42.3057,-71.08693
20,3,2015,2,6,Dorchester,42.29427,-71.05185
20,3,2015,2,6,Dorchester,42.31578,-71.0562
20,3,2015,2,6,Dorchester,42.3057,-71.08693
20,3,2015,2,6,Dorchester,42.29427,-71.05185
20,3,2015,2,6,Dorchester,42.31578,-71.0562
21,6,2015,2,6,Roxbury,42.32405,-71.08522
16,7,2015,2,6,Dorchester,42.3057,-71.08693
16,7,2015,2,6,Dorchester,42.29427,-71.05185
16,7,2015,2,6,Dorchester,42.31578,-71.0562
19,4,2015,2,6,Dorchester,42.3057,-71.08693
19,4,2015,2,6,Dorchester,42.29427,-71.05185
19,4,2015,2,6,Dorchester,42.31578,-71.0562
2,6,2015,2,6,Roxbury,42.32405,-71.08522
18,5,2015,2,6,Dorchester,42.3057,-71.08693
18,5,2015,2,6,Dorchester,42.29427,-71.05185
18,5,2015,2,6,Dorchester,42.31578,-71.0562
23,7,2015,2,6,Dorchester,42.3057,-71.08693
23,7,2015,2,6,Dorchester,42.29427,-71.05185
23,7,2015,2,6,Dorchester,42.31578,-71.0562
19,7,2015,2,6,Dorchester,42.3057,-71.08693
19,7,2015,2,6,Dorchester,42.29427,-71.05185
19,7,2015,2,6,Dorchester,42.31578,-71.0562
22,7,2015,2,6,Jamaica Plain,42.30823,-71.11515
14,4,2015,3,7,Mattapan,42.27588,-71.0918
23,5,2015,3,7,Roxbury,42.32405,-71.08522
23,5,2015,3,7,Roxbury,42.32405,-71.08522
18,5,2015,3,7,Dorchester,42.3057,-71.08693
18,5,2015,3,7,Dorchester,42.29427,-71.05185
18,5,2015,3,7,Dorchester,42.31578,-71.0562
18,5,2015,3,7,Dorchester,42.3057,-71.08693
18,5,2015,3,7,Dorchester,42.29427,-71.05185
18,5,2015,3,7,Dorchester,42.31578,-71.0562
1,7,2015,3,7,Dorchester,42.3057,-71.08693
1,7,2015,3,7,Dorchester,42.29427,-71.05185
1,7,2015,3,7,Dorchester,42.31578,-71.0562
1,7,2015,3,7,Dorchester,42.3057,-71.08693
1,7,2015,3,7,Dorchester,42.29427,-71.05185
1,7,2015,3,7,Dorchester,42.31578,-71.0562
2,7,2015,3,7,Jamaica Plain,42.30823,-71.11515
22,7,2015,3,7,Roxbury,42.32405,-71.08522
22,7,2015,3,7,Roxbury,42.32405,-71.08522
0,1,2015,3,7,Roxbury,42.32405,-71.08522
0,1,2015,3,7,Roxbury,42.32405,-71.08522
3,7,2015,3,7,Roxbury,42.32405,-71.08522
23,1,2015,3,7,Roxbury,42.32405,-71.08522
3,2,2015,3,7,South Boston,42.33455,-71.03875
17,4,2015,3,7,Roxbury,42.32405,-71.08522
17,7,2015,3,7,Dorchester,42.3057,-71.08693
17,7,2015,3,7,Dorchester,42.29427,-71.05185
17,7,2015,3,7,Dorchester,42.31578,-71.0562
22,7,2015,3,7,Mattapan,42.27588,-71.0918
22,7,2015,3,7,Roxbury,42.32405,-71.08522
16,1,2015,3,7,Dorchester,42.3057,-71.08693
16,1,2015,3,7,Dorchester,42.29427,-71.05185
16,1,2015,3,7,Dorchester,42.31578,-71.0562
12,2,2015,3,7,Roxbury,42.32405,-71.08522
23,1,2015,3,7,Dorchester,42.3057,-71.08693
23,1,2015,3,7,Dorchester,42.29427,-71.05185
23,1,2015,3,7,Dorchester,42.31578,-71.0562
23,1,2015,3,7,Dorchester,42.3057,-71.08693
23,1,2015,3,7,Dorchester,42.29427,-71.05185
23,1,2015,3,7,Dorchester,42.31578,-71.0562
18,3,2015,3,7,Dorchester,42.3057,-71.08693
18,3,2015,3,7,Dorchester,42.29427,-71.05185
18,3,2015,3,7,Dorchester,42.31578,-71.0562
20,6,2015,3,7,Jamaica Plain,42.30823,-71.11515
23,6,2015,3,7,Dorchester,42.3057,-71.08693
23,6,2015,3,7,Dorchester,42.29427,-71.05185
23,6,2015,3,7,Dorchester,42.31578,-71.0562
23,6,2015,3,7,Dorchester,42.3057,-71.08693
23,6,2015,3,7,Dorchester,42.29427,-71.05185
23,6,2015,3,7,Dorchester,42.31578,-71.0562
0,1,2015,3,7,Dorchester,42.3057,-71.08693
0,1,2015,3,7,Dorchester,42.29427,-71.05185
0,1,2015,3,7,Dorchester,42.31578,-71.0562
23,2,2015,3,7,Roxbury,42.32405,-71.08522
10,2,2015,3,7,Roslindale,42.28392,-71.12468
18,4,2015,3,7,Dorchester,42.3057,-71.08693
18,4,2015,3,7,Dorchester,42.29427,-71.05185
18,4,2015,3,7,Dorchester,42.31578,-71.0562
1,6,2015,3,7,Jamaica Plain,42.30823,-71.11515
15,7,2015,3,7,Roxbury,42.32405,-71.08522
15,7,2015,3,7,Roxbury,42.32405,-71.08522
22,3,2015,3,7,Dorchester,42.3057,-71.08693
22,3,2015,3,7,Dorchester,42.29427,-71.05185
22,3,2015,3,7,Dorchester,42.31578,-71.0562
0,2,2015,3,7,Mattapan,42.27588,-71.0918
0,2,2015,3,7,Mattapan,42.27588,-71.0918
0,2,2015,3,7,Mattapan,42.27588,-71.0918
23,5,2015,3,7,Mission Hill,,
23,5,2015,3,7,Mission Hill,,
21,4,2015,3,7,Roxbury,42.32405,-71.08522
21,4,2015,3,7,Roxbury,42.32405,-71.08522
23,1,2015,3,8,Jamaica Plain,42.30823,-71.11515
18,7,2015,3,8,Roxbury,42.32405,-71.08522
3,1,2015,3,8,Dorchester,42.3057,-71.08693
3,1,2015,3,8,Dorchester,42.29427,-71.05185
3,1,2015,3,8,Dorchester,42.31578,-71.0562
12,2,2015,3,8,Roxbury,42.32405,-71.08522
12,2,2015,3,8,Roxbury,42.32405,-71.08522
12,2,2015,3,8,Roxbury,42.32405,-71.08522
2,7,2015,3,8,Mission Hill,,
0,7,2015,3,8,Mattapan,42.27588,-71.0918
1,1,2015,3,8,Roxbury,42.32405,-71.08522
22,4,2015,3,8,Jamaica Plain,42.30823,-71.11515
22,4,2015,3,8,Jamaica Plain,42.30823,-71.11515
12,4,2015,3,8,Jamaica Plain,42.30823,-71.11515
22,4,2015,3,8,Mattapan,42.27588,-71.0918
22,4,2015,3,8,Mattapan,42.27588,-71.0918
22,4,2015,3,8,Mattapan,42.27588,-71.0918
23,5,2015,3,8,Dorchester,42.3057,-71.08693
23,5,2015,3,8,Dorchester,42.29427,-71.05185
23,5,2015,3,8,Dorchester,42.31578,-71.0562
23,5,2015,3,8,Dorchester,42.3057,-71.08693
23,5,2015,3,8,Dorchester,42.29427,-71.05185
23,5,2015,3,8,Dorchester,42.31578,-71.0562
16,5,2015,3,8,Dorchester,42.3057,-71.08693
16,5,2015,3,8,Dorchester,42.29427,-71.05185
16,5,2015,3,8,Dorchester,42.31578,-71.0562
0,3,2015,3,8,Dorchester,42.3057,-71.08693
0,3,2015,3,8,Dorchester,42.29427,-71.05185
0,3,2015,3,8,Dorchester,42.31578,-71.0562
12,1,2015,3,8,South Boston,42.33455,-71.03875
0,7,2015,3,8,Jamaica Plain,42.30823,-71.11515
0,7,2015,3,8,Jamaica Plain,42.30823,-71.11515
21,6,2015,3,8,Dorchester,42.3057,-71.08693
21,6,2015,3,8,Dorchester,42.29427,-71.05185
21,6,2015,3,8,Dorchester,42.31578,-71.0562
1,5,2015,3,8,Jamaica Plain,42.30823,-71.11515
15,5,2015,3,8,West Roxbury,42.27931,-71.16072
1,1,2015,3,8,Dorchester,42.3057,-71.08693
1,1,2015,3,8,Dorchester,42.29427,-71.05185
1,1,2015,3,8,Dorchester,42.31578,-71.0562
0,2,2015,3,8,Roxbury,42.32405,-71.08522
21,2,2015,3,8,Dorchester,42.3057,-71.08693
21,2,2015,3,8,Dorchester,42.29427,-71.05185
21,2,2015,3,8,Dorchester,42.31578,-71.0562
2,7,2015,3,8,Dorchester,42.3057,-71.08693
2,7,2015,3,8,Dorchester,42.29427,-71.05185
2,7,2015,3,8,Dorchester,42.31578,-71.0562
2,7,2015,3,8,Dorchester,42.3057,-71.08693
2,7,2015,3,8,Dorchester,42.29427,-71.05185
2,7,2015,3,8,Dorchester,42.31578,-71.0562
2,7,2015,3,8,Dorchester,42.3057,-71.08693
2,7,2015,3,8,Dorchester,42.29427,-71.05185
2,7,2015,3,8,Dorchester,42.31578,-71.0562
2,7,2015,3,8,Dorchester,42.3057,-71.08693
2,7,2015,3,8,Dorchester,42.29427,-71.05185
2,7,2015,3,8,Dorchester,42.31578,-71.0562
1,7,2015,3,8,Mattapan,42.27588,-71.0918
2,7,2015,3,8,Dorchester,42.3057,-71.08693
2,7,2015,3,8,Dorchester,42.29427,-71.05185
2,7,2015,3,8,Dorchester,42.31578,-71.0562
1,1,2015,3,9,Dorchester,42.3057,-71.08693
