HOUR_OF_DAY,DAY_OF_WEEK,YEAR,QUARTER,MONTH,NEIGHBORHOOD
13,5,2015,1,1,Dorchester
1,1,2015,1,1,Hyde Park
18,1,2015,1,1,Roslindale
22,5,2015,1,1,Roxbury
22,5,2015,1,1,Roxbury
22,5,2015,1,1,Roxbury
22,5,2015,1,1,Roxbury
23,2,2015,1,1,Dorchester
2,6,2015,1,1,Mattapan
23,3,2015,1,1,Jamaica Plain
11,3,2015,1,1,Longwood
1,5,2015,1,1,Mission Hill
19,5,2015,1,1,Roxbury
19,5,2015,1,1,Roxbury
12,2,2015,1,1,Roxbury
23,6,2015,1,1,Jamaica Plain
23,6,2015,1,1,Jamaica Plain
23,6,2015,1,1,Jamaica Plain
23,6,2015,1,1,Jamaica Plain
23,6,2015,1,1,Jamaica Plain
23,6,2015,1,1,Jamaica Plain
19,4,2015,1,2,Roxbury
19,1,2015,1,2,Mattapan
20,3,2015,1,2,Dorchester
10,4,2015,1,2,Jamaica Plain
22,1,2015,1,3,Dorchester
19,3,2015,1,3,Roxbury
2,7,2015,1,3,South End
18,4,2015,1,3,Dorchester
0,5,2015,1,3,Dorchester
18,6,2015,1,3,Dorchester
20,6,2015,1,3,Dorchester
21,7,2015,1,3,Hyde Park
3,1,2015,1,3,Hyde Park
3,1,2015,1,3,Hyde Park
15,7,2015,1,3,Roxbury
12,4,2015,1,3,Roxbury
22,2,2015,1,3,East Boston
20,7,2015,1,3,Dorchester
14,6,2015,1,3,Mission Hill
18,6,2015,1,3,Roxbury
10,6,2015,1,3,Roxbury
11,3,2015,1,3,Dorchester
11,3,2015,1,3,Dorchester
20,4,2015,2,4,Dorchester
23,6,2015,2,4,Roxbury
23,6,2015,2,4,Roxbury
21,2,2015,2,4,Roxbury
20,4,2015,2,4,Dorchester
20,4,2015,2,4,Dorchester
15,5,2015,2,4,Roxbury
21,1,2015,2,4,Dorchester
21,1,2015,2,4,Dorchester
23,6,2015,2,4,Mattapan
10,2,2015,2,4,Roxbury
17,3,2015,2,4,Mattapan
15,7,2015,2,5,Roxbury
19,1,2015,2,5,Dorchester
20,1,2015,2,5,Dorchester
4,3,2015,2,5,Roslindale
13,1,2015,2,5,Roxbury
11,6,2015,2,5,Dorchester
4,5,2015,2,5,Roxbury
13,5,2015,2,5,Dorchester
18,3,2015,2,5,Roxbury
23,6,2015,2,5,Dorchester
21,2,2015,2,5,Hyde Park
11,4,2015,2,5,Hyde Park
17,5,2015,2,5,Dorchester
21,5,2015,2,5,Mattapan
0,7,2015,2,5,Roxbury
16,1,2015,2,5,Dorchester
16,1,2015,2,5,Dorchester
16,1,2015,2,5,Dorchester
1,2,2015,2,5,Jamaica Plain
13,3,2015,2,5,Dorchester
19,7,2015,2,5,Dorchester
2,7,2015,2,5,Downtown
18,6,2015,2,5,East Boston
14,2,2015,2,6,Dorchester
5,4,2015,2,6,Dorchester
23,4,2015,2,6,Dorchester
23,4,2015,2,6,Dorchester
19,4,2015,2,6,Dorchester
4,6,2015,2,6,Roxbury
0,7,2015,2,6,Dorchester
20,7,2015,2,6,Jamaica Plain
20,3,2015,2,6,Dorchester
20,3,2015,2,6,Dorchester
20,3,2015,2,6,Dorchester
21,6,2015,2,6,Roxbury
16,7,2015,2,6,Dorchester
19,4,2015,2,6,Dorchester
2,6,2015,2,6,Roxbury
18,5,2015,2,6,Dorchester
23,7,2015,2,6,Dorchester
19,7,2015,2,6,Dorchester
22,7,2015,2,6,Jamaica Plain
14,4,2015,3,7,Mattapan
23,5,2015,3,7,Roxbury
23,5,2015,3,7,Roxbury
18,5,2015,3,7,Dorchester
18,5,2015,3,7,Dorchester
1,7,2015,3,7,Dorchester
1,7,2015,3,7,Dorchester
2,7,2015,3,7,Jamaica Plain
22,7,2015,3,7,Roxbury
22,7,2015,3,7,Roxbury
0,1,2015,3,7,Roxbury
0,1,2015,3,7,Roxbury
3,7,2015,3,7,Roxbury
23,1,2015,3,7,Roxbury
3,2,2015,3,7,South Boston
17,4,2015,3,7,Roxbury
17,7,2015,3,7,Dorchester
22,7,2015,3,7,Mattapan
22,7,2015,3,7,Roxbury
16,1,2015,3,7,Dorchester
12,2,2015,3,7,Roxbury
23,1,2015,3,7,Dorchester
23,1,2015,3,7,Dorchester
18,3,2015,3,7,Dorchester
20,6,2015,3,7,Jamaica Plain
23,6,2015,3,7,Dorchester
23,6,2015,3,7,Dorchester
0,1,2015,3,7,Dorchester
23,2,2015,3,7,Roxbury
10,2,2015,3,7,Roslindale
18,4,2015,3,7,Dorchester
1,6,2015,3,7,Jamaica Plain
15,7,2015,3,7,Roxbury
15,7,2015,3,7,Roxbury
22,3,2015,3,7,Dorchester
0,2,2015,3,7,Mattapan
0,2,2015,3,7,Mattapan
0,2,2015,3,7,Mattapan
23,5,2015,3,7,Mission Hill
23,5,2015,3,7,Mission Hill
21,4,2015,3,7,Roxbury
21,4,2015,3,7,Roxbury
23,1,2015,3,8,Jamaica Plain
18,7,2015,3,8,Roxbury
3,1,2015,3,8,Dorchester
12,2,2015,3,8,Roxbury
12,2,2015,3,8,Roxbury
12,2,2015,3,8,Roxbury
2,7,2015,3,8,Mission Hill
0,7,2015,3,8,Mattapan
1,1,2015,3,8,Roxbury
22,4,2015,3,8,Jamaica Plain
22,4,2015,3,8,Jamaica Plain
12,4,2015,3,8,Jamaica Plain
22,4,2015,3,8,Mattapan
22,4,2015,3,8,Mattapan
22,4,2015,3,8,Mattapan
23,5,2015,3,8,Dorchester
23,5,2015,3,8,Dorchester
16,5,2015,3,8,Dorchester
0,3,2015,3,8,Dorchester
12,1,2015,3,8,South Boston
0,7,2015,3,8,Jamaica Plain
0,7,2015,3,8,Jamaica Plain
21,6,2015,3,8,Dorchester
1,5,2015,3,8,Jamaica Plain
15,5,2015,3,8,West Roxbury
1,1,2015,3,8,Dorchester
0,2,2015,3,8,Roxbury
21,2,2015,3,8,Dorchester
2,7,2015,3,8,Dorchester
2,7,2015,3,8,Dorchester
2,7,2015,3,8,Dorchester
2,7,2015,3,8,Dorchester
1,7,2015,3,8,Mattapan
2,7,2015,3,8,Dorchester
1,1,2015,3,9,Dorchester
1,1,2015,3,9,Fenway
1,1,2015,3,9,Fenway
4,5,2015,3,9,Roxbury
22,7,2015,3,9,Roslindale
12,4,2015,3,9,Mission Hill
0,2,2015,3,9,Jamaica Plain
16,3,2015,3,9,Fenway
20,4,2015,3,9,Dorchester
1,6,2015,3,9,Hyde Park
1,7,2015,3,9,Dorchester
4,2,2015,3,9,Dorchester
20,2,2015,3,9,Roxbury
4,4,2015,3,9,Hyde Park
22,4,2015,3,9,East Boston
23,6,2015,3,7,Roxbury
23,1,2015,2,5,Mission Hill
23,2,2015,2,5,Dorchester
20,7,2023,3,8,Dorchester
7,7,2023,3,8,Dorchester
11,7,2022,3,7,Fenway
19,4,2022,3,7,Dorchester
22,1,2022,3,7,Roxbury
22,1,2022,3,7,Roxbury
23,7,2022,3,7,Dorchester
23,7,2022,3,7,Dorchester
23,7,2022,3,7,Dorchester
12,2,2022,3,8,Dorchester
2,7,2022,3,8,East Boston
20,5,2022,3,8,Mattapan
22,7,2022,3,8,South End
1,1,2022,3,8,Dorchester
23,7,2022,3,8,Roxbury
0,2,2022,3,8,Dorchester
4,5,2022,3,8,Roxbury
4,5,2022,3,8,Roxbury
5,2,2022,3,8,Dorchester
20,1,2022,3,8,Dorchester
19,7,2022,3,8,Dorchester
3,7,2022,3,8,Dorchester
0,7,2022,3,8,South Boston
6,7,2022,3,8,Dorchester
15,7,2022,3,8,Jamaica Plain
17,1,2022,3,8,Dorchester
13,7,2022,3,8,Dorchester
2,1,2022,3,9,Dorchester
2,1,2022,3,9,Dorchester
1,1,2022,3,9,Dorchester
8,7,2022,3,8,Roxbury
16,5,2022,3,9,Roxbury
17,4,2022,3,8,Dorchester
20,4,2022,3,8,Roxbury
19,4,2022,3,8,Mattapan
14,1,2022,3,9,Dorchester
13,4,2022,3,9,Mattapan
23,6,2022,3,9,Dorchester
23,6,2022,3,9,Dorchester
23,5,2022,3,9,Roxbury
18,5,2022,3,9,Roxbury
1,2,2022,4,10,South End
0,3,2022,4,10,Dorchester
9,3,2022,4,10,Dorchester
0,3,2022,4,10,Dorchester
23,1,2022,4,10,Roslindale
6,2,2022,4,10,Jamaica Plain
12,2,2022,4,10,Roxbury
12,2,2022,4,10,Roxbury
0,2,2022,4,10,Hyde Park
20,1,2022,4,10,Dorchester
20,1,2022,4,10,Dorchester
20,1,2022,4,10,Dorchester
19,4,2022,4,10,Roxbury
4,1,2022,4,10,Mattapan
1,7,2022,4,10,Dorchester
3,7,2022,4,10,Hyde Park
22,1,2022,4,10,Dorchester
19,4,2022,4,10,Dorchester
5,1,2022,4,10,Dorchester
5,1,2022,4,10,Dorchester
5,1,2022,4,10,Dorchester
22,7,2022,4,10,Dorchester
21,1,2022,4,11,Hyde Park
21,1,2022,4,11,Hyde Park
21,1,2022,4,11,Hyde Park
21,1,2022,4,11,Mattapan
21,1,2022,4,11,Mattapan
21,1,2022,4,11,Dorchester
22,6,2022,4,11,South End
13,4,2022,4,11,Dorchester
20,5,2022,4,11,Dorchester
18,7,2022,4,11,Hyde Park
11,1,2022,4,11,Charlestown
17,7,2022,4,11,Mattapan
22,1,2022,4,11,Dorchester
20,6,2022,4,12,Hyde Park
15,2,2022,4,12,Dorchester
15,2,2022,4,12,Dorchester
19,1,2022,4,12,Dorchester
2,1,2022,4,12,Allston
2,1,2022,4,12,Jamaica Plain
17,7,2022,4,12,Jamaica Plain
23,4,2022,4,12,Roxbury
13,5,2022,4,12,Jamaica Plain
23,6,2022,4,12,Dorchester
5,1,2023,1,1,Mattapan
5,1,2023,1,1,Mattapan
