OBJECTID,Incident_Num,Shooting_Date,District,Shooting_Type_V2,Victim_Gender,Victim_Race,Victim_Ethnicity_NIBRS,Multi_Victim,IsPrimaryIncident,HOUR_OF_DAY,DAY_OF_WEEK,YEAR,QUARTER,MONTH,NEIGHBORHOOD
1878,I152000196-00,2015/01/01 18:30:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,13,5,2015,1,1,Dorchester
1879,I152000879-00,2015/01/04 06:58:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,1,2015,1,1,Hyde Park
1880,I152001014-00,2015/01/04 23:52:00+00,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,1,2015,1,1,Roslindale
1881,I152002232-00,2015/01/09 03:45:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,22,5,2015,1,1,Roxbury
1882,I152002233-00,2015/01/09 03:45:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,0,22,5,2015,1,1,Roxbury
1883,I152002234-00,2015/01/09 03:45:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,22,5,2015,1,1,Roxbury
1884,I152002215-00,2015/01/09 03:45:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,22,5,2015,1,1,Roxbury
1885,I152003226-00,2015/01/13 04:58:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,2,2015,1,1,Dorchester
1886,I152004092-00,2015/01/16 07:25:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,2,6,2015,1,1,Mattapan
1887,I152005490-00,2015/01/21 04:30:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,0,1,23,3,2015,1,1,Jamaica Plain
1888,I152005465-00,2015/01/20 16:03:00+00,B2,Fatal,Male,White,Not Hispanic or Latinx,0,1,11,3,2015,1,1,Longwood
1889,I152005806-00,2015/01/22 06:47:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,5,2015,1,1,Mission Hill
1890,I152006073-00,2015/01/23 00:32:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,1,19,5,2015,1,1,Roxbury
1891,I152006114-00,2015/01/23 00:32:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,19,5,2015,1,1,Roxbury
1892,I152005008-00,2015/01/19 17:38:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,12,2,2015,1,1,Roxbury
1893,I152006505-00,2015/01/24 04:05:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,23,6,2015,1,1,Jamaica Plain
1894,I152006535-00,2015/01/24 04:05:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,23,6,2015,1,1,Jamaica Plain
1895,I152006455-00,2015/01/24 04:05:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,23,6,2015,1,1,Jamaica Plain
1896,I152006514-00,2015/01/24 04:05:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,23,6,2015,1,1,Jamaica Plain
1897,I152006534-00,2015/01/24 04:05:00+00,E13,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,0,23,6,2015,1,1,Jamaica Plain
1898,I152006502-00,2015/01/24 04:05:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,23,6,2015,1,1,Jamaica Plain
1899,I152009379-00,2015/02/05 00:40:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,4,2015,1,2,Roxbury
1900,I152010507-00,2015/02/09 00:34:00+00,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,19,1,2015,1,2,Mattapan
1901,I152011034-00,2015/02/11 01:33:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,3,2015,1,2,Dorchester
1902,I152011169-00,2015/02/11 15:30:00+00,E13,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,10,4,2015,1,2,Jamaica Plain
1903,I152016667-00,2015/03/02 03:28:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,1,2015,1,3,Dorchester
1904,I152017250-00,2015/03/04 00:12:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,0,1,19,3,2015,1,3,Roxbury
1905,I152018392-00,2015/03/07 07:03:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,2,7,2015,1,3,South End
1906,I152019788-00,2015/03/11 22:12:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,4,2015,1,3,Dorchester
1907,I152019839-00,2015/03/12 04:11:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,5,2015,1,3,Dorchester
1908,I152020404-00,2015/03/13 22:21:03+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,6,2015,1,3,Dorchester
1909,I152020435-00,2015/03/14 00:03:15+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,6,2015,1,3,Dorchester
1910,I152020724-00,2015/03/15 01:05:20+00,E18,Non-Fatal,Male,White,Hispanic or Latinx,0,1,21,7,2015,1,3,Hyde Park
1911,I152020804-00,2015/03/15 07:58:11+00,E18,Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,3,1,2015,1,3,Hyde Park
1912,I152020820-00,2015/03/15 07:59:42+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,3,1,2015,1,3,Hyde Park
1913,I152020647-00,2015/03/14 19:46:13+00,B2,Fatal,Male,White,Hispanic or Latinx,0,1,15,7,2015,1,3,Roxbury
1914,I152021830-00,2015/03/18 16:30:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,12,4,2015,1,3,Roxbury
1915,I152023517-00,2015/03/24 02:02:00+00,A7,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,2,2015,1,3,East Boston
1916,I152025357-00,2015/03/29 00:48:08+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,20,7,2015,1,3,Dorchester
1917,I152025087-00,2015/03/27 18:44:43+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,14,6,2015,1,3,Mission Hill
1918,I152025018-00,2015/03/27 22:40:00+00,B2,Non-Fatal,Male,White,Not Hispanic or Latinx,1,1,18,6,2015,1,3,Roxbury
1919,I152025097-00,2015/03/27 14:54:14+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,0,10,6,2015,1,3,Roxbury
1920,I152026045-00,2015/03/31 15:26:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,11,3,2015,1,3,Dorchester
1921,I152026103-00,2015/03/31 15:26:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,0,11,3,2015,1,3,Dorchester
1922,I152026538-00,2015/04/02 00:29:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,4,2015,2,4,Dorchester
1923,I152027279-00,2015/04/04 03:15:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,23,6,2015,2,4,Roxbury
1924,I152027279-00,2015/04/04 03:15:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,0,23,6,2015,2,4,Roxbury
1925,I152028043-00,2015/04/07 01:17:12+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,21,2,2015,2,4,Roxbury
1926,I152028582-00,2015/04/09 00:21:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,20,4,2015,2,4,Dorchester
1927,I152028599-00,2015/04/09 00:20:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,20,4,2015,2,4,Dorchester
1928,I152028762-00,2015/04/09 19:45:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,15,5,2015,2,4,Roxbury
1929,I152029808-00,2015/04/13 01:51:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,21,1,2015,2,4,Dorchester
1930,I152029808-00,2015/04/13 01:51:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,21,1,2015,2,4,Dorchester
1931,I152033518-00,2015/04/25 03:00:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,6,2015,2,4,Mattapan
1932,I152034171-00,2015/04/27 14:15:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,10,2,2015,2,4,Roxbury
1933,I152034689-00,2015/04/28 21:53:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,17,3,2015,2,4,Mattapan
1934,I152035802-00,2015/05/02 19:08:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,15,7,2015,2,5,Roxbury
1935,I152036137-00,2015/05/03 23:30:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,1,2015,2,5,Dorchester
1936,I152036159-00,2015/05/04 00:02:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,1,2015,2,5,Dorchester
1937,I152036563-00,2015/05/05 08:03:00+00,E5,Non-Fatal,Male,Unknown,Unknown,0,1,4,3,2015,2,5,Roslindale
1938,I152038380-00,2015/05/10 17:40:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,13,1,2015,2,5,Roxbury
1939,I152037866-00,2015/05/08 15:44:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,11,6,2015,2,5,Dorchester
1940,I152037218-00,2015/05/07 08:00:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,4,5,2015,2,5,Roxbury
1941,I152037334-00,2015/05/07 17:31:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,13,5,2015,2,5,Dorchester
1942,I152038963-00,2015/05/12 22:39:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,3,2015,2,5,Roxbury
1943,I152039988-00,2015/05/16 03:47:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,6,2015,2,5,Dorchester
1944,I152040876-00,2015/05/19 01:21:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,21,2,2015,2,5,Hyde Park
1945,I152041419-00,2015/05/20 15:09:35+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,11,4,2015,2,5,Hyde Park
